beneficiary_id,household_id,name,age,gender,aadhaar_hash,income_band,caste_category,family_size,district,state,latitude,longitude,distance_to_hospital_km,is_enrolled,enrollment_date
BEN000042,HH000042,Kumar Singh,28,M,AAD00000042,APL,General,2,Bhopal,Madhya Pradesh,29.4258,76.4269,15.4,True,
BEN000043,HH000043,Kumar Khan,74,F,AAD00000043,BPL,OBC,7,Pune,Maharashtra,31.144,77.013,99.58,False,
BEN000044,HH000044,Vikram Patel,77,F,AAD00000044,EWS,General,8,Hyderabad,Telangana,12.5752,86.4439,56.15,True,2025-10-05 19:11:19.300047
BEN000045,HH000045,Priya Reddy,55,F,AAD00000045,EWS,ST,5,Kolkata,West Bengal,25.3389,72.2641,19.42,True,
BEN000046,HH000046,Kumar Khan,45,M,AAD00000046,APL,General,6,Pune,Maharashtra,15.7846,82.2433,99.94,True,
BEN000047,HH000047,Deepa Patel,47,M,AAD00000047,BPL,General,6,Chennai,Tamil Nadu,21.3597,82.6599,40.98,False,
BEN000048,HH000048,Deepa Sharma,27,F,AAD00000048,BPL,General,8,Bhopal,Madhya Pradesh,33.7316,92.8484,12.78,True,
BEN000049,HH000049,Kumar Reddy,22,F,AAD00000049,BPL,ST,9,Bengaluru,Karnataka,17.9206,69.9283,76.03,False,
BEN000050,HH000050,Priya Kumar,71,M,AAD00000050,APL,OBC,7,Mumbai,Maharashtra,22.6318,88.5958,41.71,False,
BEN000051,HH000051,Priya Khan,78,F,AAD00000051,EWS,General,4,Ahmedabad,Gujarat,31.9785,82.2016,26.6,True,2025-12-08 19:11:19.300047
BEN000052,HH000052,Anil Reddy,50,M,AAD00000052,APL,OBC,5,Mumbai,Maharashtra,33.5684,68.5624,43.98,True,
BEN000053,HH000053,Priya Verma,75,F,AAD00000053,EWS,SC,5,Jaipur,Rajasthan,31.7148,94.2397,59.09,False,2026-07-18 19:11:19.300047
BEN000054,HH000054,Rajesh Gupta,19,F,AAD00000054,BPL,SC,8,Goa,Goa,19.4177,81.8311,6.13,True,
BEN000055,HH000055,Anil Sharma,27,M,AAD00000055,APL,General,10,Mumbai,Maharashtra,27.8195,68.0711,45.48,True,2025-10-16 19:11:19.300047
BEN000056,HH000056,Kumar Sharma,71,M,AAD00000056,APL,General,9,Lucknow,Uttar Pradesh,20.7158,86.1909,5.19,True,
BEN000057,HH000057,Anita Singh,76,F,AAD00000057,EWS,General,6,Jaipur,Rajasthan,14.1253,89.9175,22.78,True,
BEN000058,HH000058,Vikram Khan,59,F,AAD00000058,BPL,SC,2,Hyderabad,Telangana,24.3708,74.0709,33.89,True,2026-04-12 19:11:19.300047
BEN000059,HH000059,Vikram Singh,21,M,AAD00000059,BPL,SC,3,Ahmedabad,Gujarat,26.0558,87.4404,89.63,True,
BEN000060,HH000060,Deepa Reddy,35,F,AAD00000060,APL,ST,4,Hyderabad,Telangana,18.2429,82.2175,43.36,True,
BEN000061,HH000061,Rajesh Khan,22,F,AAD00000061,APL,ST,9,Indore,Madhya Pradesh,21.1375,91.1614,8.74,True,2025-08-31 19:11:19.300047
BEN000062,HH000062,Rajesh Kumar,69,F,AAD00000062,BPL,OBC,8,Kolkata,West Bengal,26.2581,69.8397,37.8,True,2025-08-27 19:11:19.300047
BEN000063,HH000063,Priya Kumar,63,F,AAD00000063,EWS,OBC,10,Bengaluru,Karnataka,13.5644,85.2511,52.1,True,2026-02-26 19:11:19.300047
BEN000064,HH000064,Anita Kumar,37,M,AAD00000064,EWS,General,4,Chandigarh,Chandigarh,26.5045,77.1995,80.53,True,2026-02-01 19:11:19.300047
BEN000065,HH000065,Deepa Sharma,48,F,AAD00000065,BPL,SC,7,Chandigarh,Chandigarh,33.42,81.9695,95.59,True,
BEN000066,HH000066,Anita Patel,62,M,AAD00000066,APL,OBC,4,Lucknow,Uttar Pradesh,19.2903,83.9438,20.55,True,
BEN000067,HH000067,Anil Reddy,27,M,AAD00000067,EWS,General,8,Indore,Madhya Pradesh,34.8016,75.173,86.23,True,
BEN000068,HH000068,Anil Patel,47,F,AAD00000068,EWS,General,3,Indore,Madhya Pradesh,18.2579,91.5244,1.89,True,2025-09-11 19:11:19.300047
BEN000069,HH000069,Anil Verma,50,M,AAD00000069,EWS,General,7,Chandigarh,Chandigarh,29.432,87.3946,67.39,True,2025-12-15 19:11:19.300047
BEN000070,HH000070,Kumar Patel,57,M,AAD00000070,APL,OBC,2,Bengaluru,Karnataka,12.7179,81.152,50.42,True,2026-05-08 19:11:19.300047
BEN000071,HH000071,Anita Sharma,67,M,AAD00000071,EWS,General,9,Bengaluru,Karnataka,12.8284,96.659,35.49,True,
BEN000072,HH000072,Priya Reddy,56,M,AAD00000072,EWS,OBC,6,Hyderabad,Telangana,16.6295,68.4924,75.75,True,
BEN000073,HH000073,Rajesh Verma,41,M,AAD00000073,BPL,ST,7,Chennai,Tamil Nadu,33.8625,80.2114,69.76,True,2025-08-25 19:11:19.300047
BEN000074,HH000074,Deepa Khan,75,M,AAD00000074,APL,ST,7,Pune,Maharashtra,17.9337,86.2239,21.19,True,2026-04-05 19:11:19.300047
BEN000075,HH000075,Anil Singh,72,M,AAD00000075,APL,ST,8,Hyderabad,Telangana,30.0843,81.5058,23.75,True,2025-09-09 19:11:19.300047
BEN000076,HH000076,Kumar Reddy,50,F,AAD00000076,APL,OBC,9,Bengaluru,Karnataka,22.3829,87.5835,21.96,True,
BEN000077,HH000077,Priya Gupta,73,M,AAD00000077,BPL,OBC,5,Bengaluru,Karnataka,22.4035,73.0312,96.04,True,
BEN000078,HH000078,Anil Khan,38,M,AAD00000078,EWS,OBC,3,Surat,Gujarat,14.3624,93.6233,75.99,True,
BEN000079,HH000079,Vikram Reddy,32,F,AAD00000079,EWS,ST,8,Chennai,Tamil Nadu,29.249,93.6082,23.66,True,2026-05-16 19:11:19.300047
BEN000080,HH000080,Anil Khan,42,F,AAD00000080,BPL,SC,9,Pune,Maharashtra,28.3563,75.6279,87.22,True,2026-02-01 19:11:19.300047
BEN000081,HH000081,Sunita Gupta,76,F,AAD00000081,APL,ST,9,Bhopal,Madhya Pradesh,12.214,70.0327,84.53,True,
BEN000082,HH000082,Sunita Khan,61,M,AAD00000082,BPL,General,7,Surat,Gujarat,19.7846,88.9707,27.67,True,2025-12-22 19:11:19.300047
BEN000083,HH000083,Anil Verma,69,M,AAD00000083,EWS,OBC,7,Jaipur,Rajasthan,13.9575,86.0903,18.38,True,2025-12-05 19:11:19.300047
BEN000084,HH000084,Kumar Singh,60,F,AAD00000084,APL,OBC,8,Bhopal,Madhya Pradesh,30.3424,75.4165,87.24,True,2025-07-29 19:11:19.301061
BEN000085,HH000085,Priya Singh,61,F,AAD00000085,EWS,General,7,Bengaluru,Karnataka,21.2075,86.1223,88.14,True,2026-02-25 19:11:19.301061
BEN000086,HH000086,Sunita Kumar,67,M,AAD00000086,APL,SC,8,Surat,Gujarat,32.5554,83.0362,47.31,True,2026-01-24 19:11:19.301061
BEN000087,HH000087,Kumar Sharma,63,F,AAD00000087,APL,General,6,Kolkata,West Bengal,32.9449,96.082,47.36,True,2026-05-15 19:11:19.301061
BEN000088,HH000088,Anita Khan,57,M,AAD00000088,APL,OBC,3,Bhopal,Madhya Pradesh,29.4354,73.0311,57.72,True,2026-02-28 19:11:19.301061
BEN000089,HH000089,Kumar Sharma,22,M,AAD00000089,APL,SC,9,Goa,Goa,17.1157,84.4049,45.57,True,2025-09-16 19:11:19.301061
BEN000090,HH000090,Rajesh Kumar,55,F,AAD00000090,APL,ST,10,Bhopal,Madhya Pradesh,16.8667,93.375,86.36,True,
BEN000091,HH000091,Deepa Sharma,31,M,AAD00000091,EWS,ST,2,Mumbai,Maharashtra,26.0756,92.8553,72.53,True,2026-02-07 19:11:19.301061
BEN000092,HH000092,Priya Singh,54,F,AAD00000092,APL,ST,8,Hyderabad,Telangana,27.4498,68.4476,64.85,True,2025-08-27 19:11:19.301061
BEN000093,HH000093,Anil Verma,58,F,AAD00000093,APL,ST,9,Chennai,Tamil Nadu,13.9919,80.1367,72.82,False,
BEN000094,HH000094,Priya Kumar,77,M,AAD00000094,BPL,General,9,Kolkata,West Bengal,12.3502,94.3615,96.32,True,2026-02-23 19:11:19.301061
BEN000095,HH000095,Anil Kumar,62,F,AAD00000095,EWS,SC,10,Pune,Maharashtra,26.7364,70.8863,78.8,True,
BEN000096,HH000096,Anita Khan,55,M,AAD00000096,APL,SC,2,Chennai,Tamil Nadu,34.5899,87.7171,50.12,False,2025-11-18 19:11:19.301061
BEN000097,HH000097,Rajesh Kumar,58,F,AAD00000097,EWS,SC,3,Jaipur,Rajasthan,28.057,80.6049,93.03,True,
BEN000098,HH000098,Kumar Verma,65,F,AAD00000098,EWS,SC,9,Bengaluru,Karnataka,30.9213,76.083,74.32,True,2026-05-02 19:11:19.301061
BEN000099,HH000099,Anil Sharma,39,M,AAD00000099,EWS,SC,4,Pune,Maharashtra,27.2166,83.4832,68.87,False,2026-06-05 19:11:19.301061
BEN000100,HH000100,Deepa Reddy,59,M,AAD00000100,EWS,OBC,10,Delhi,Delhi,15.2209,93.7585,36.68,True,2025-11-03 19:11:19.301061
BEN000101,HH000101,Vikram Singh,73,F,AAD00000101,BPL,ST,7,Indore,Madhya Pradesh,20.9933,94.0005,89.74,True,
BEN000102,HH000102,Vikram Singh,71,F,AAD00000102,EWS,General,8,Goa,Goa,32.2763,80.6269,37.59,True,2025-11-19 19:11:19.301061
BEN000103,HH000103,Deepa Verma,55,M,AAD00000103,BPL,OBC,9,Indore,Madhya Pradesh,27.4929,76.6102,92.39,False,2025-10-03 19:11:19.301061
BEN000104,HH000104,Deepa Verma,71,M,AAD00000104,APL,General,7,Mumbai,Maharashtra,34.5573,91.1982,81.2,True,2025-09-21 19:11:19.301061
BEN000105,HH000105,Anita Kumar,27,F,AAD00000105,APL,SC,6,Goa,Goa,34.7003,83.4452,57.46,False,
BEN000106,HH000106,Rajesh Patel,32,M,AAD00000106,APL,SC,3,Surat,Gujarat,23.0369,72.1222,91.35,True,2026-06-15 19:11:19.301061
BEN000107,HH000107,Vikram Kumar,33,F,AAD00000107,BPL,OBC,9,Pune,Maharashtra,30.8387,68.2574,56.03,True,2025-08-19 19:11:19.301061
BEN000108,HH000108,Kumar Gupta,80,M,AAD00000108,BPL,ST,9,Lucknow,Uttar Pradesh,19.849,83.6238,37.17,True,2025-11-15 19:11:19.301061
BEN000109,HH000109,Deepa Verma,48,M,AAD00000109,APL,ST,5,Mumbai,Maharashtra,17.7711,96.6109,86.94,False,2026-06-02 19:11:19.301061
BEN000110,HH000110,Sunita Patel,44,F,AAD00000110,EWS,General,6,Chennai,Tamil Nadu,22.4538,84.4838,58.78,True,
BEN000111,HH000111,Priya Singh,61,M,AAD00000111,BPL,SC,9,Bhopal,Madhya Pradesh,13.0517,75.3739,23.28,False,2025-09-12 19:11:19.301061
BEN000112,HH000112,Deepa Singh,34,F,AAD00000112,BPL,ST,5,Ahmedabad,Gujarat,14.0802,75.0048,60.92,True,
BEN000113,HH000113,Deepa Khan,51,M,AAD00000113,APL,OBC,6,Kolkata,West Bengal,19.5827,94.3417,90.01,True,2025-11-20 19:11:19.301061
BEN000114,HH000114,Deepa Sharma,79,M,AAD00000114,EWS,ST,7,Bengaluru,Karnataka,31.4141,73.1025,1.09,True,
BEN000115,HH000115,Deepa Reddy,67,F,AAD00000115,EWS,General,4,Bengaluru,Karnataka,31.208,78.2326,39.65,True,
BEN000116,HH000116,Anil Sharma,76,F,AAD00000116,BPL,SC,9,Indore,Madhya Pradesh,33.7009,94.9054,16.4,True,
BEN000117,HH000117,Rajesh Kumar,32,F,AAD00000117,BPL,ST,5,Bhopal,Madhya Pradesh,24.3562,95.6263,9.68,True,
BEN000118,HH000118,Sunita Sharma,51,M,AAD00000118,EWS,ST,8,Goa,Goa,34.8978,70.6448,79.69,True,
BEN000119,HH000119,Sunita Sharma,31,F,AAD00000119,BPL,ST,9,Chennai,Tamil Nadu,16.6805,78.3245,62.24,True,2025-12-13 19:11:19.301061
BEN000120,HH000120,Deepa Khan,35,F,AAD00000120,EWS,General,8,Pune,Maharashtra,31.3814,80.3539,6.46,False,2025-08-17 19:11:19.301061
BEN000121,HH000121,Kumar Verma,22,M,AAD00000121,EWS,General,4,Indore,Madhya Pradesh,16.1723,71.7348,25.01,True,
BEN000122,HH000122,Anita Sharma,43,M,AAD00000122,APL,General,6,Goa,Goa,31.8897,91.5208,32.83,True,2026-07-09 19:11:19.301061
BEN000123,HH000123,Anita Khan,37,F,AAD00000123,BPL,ST,7,Jaipur,Rajasthan,29.2284,96.5056,7.58,True,
BEN000124,HH000124,Anil Verma,57,M,AAD00000124,BPL,General,9,Bengaluru,Karnataka,16.0417,69.7209,85.23,True,2025-11-06 19:11:19.301061
BEN000125,HH000125,Rajesh Singh,20,F,AAD00000125,EWS,ST,3,Delhi,Delhi,33.9549,90.9628,50.95,True,2026-01-14 19:11:19.301061
BEN000126,HH000126,Priya Khan,42,M,AAD00000126,BPL,SC,2,Hyderabad,Telangana,26.9128,69.308,21.07,False,
BEN000127,HH000127,Anita Patel,19,F,AAD00000127,BPL,General,3,Ahmedabad,Gujarat,22.9557,85.4069,21.24,True,2025-12-29 19:11:19.301061
BEN000128,HH000128,Rajesh Gupta,51,F,AAD00000128,APL,SC,9,Bengaluru,Karnataka,12.7375,88.2771,87.37,True,
BEN000129,HH000129,Anil Gupta,51,F,AAD00000129,BPL,ST,4,Surat,Gujarat,33.4413,72.8144,57.4,True,
BEN000130,HH000130,Anil Sharma,56,M,AAD00000130,EWS,SC,9,Delhi,Delhi,34.5983,84.7561,87.44,True,
BEN000131,HH000131,Kumar Khan,26,M,AAD00000131,EWS,General,6,Chandigarh,Chandigarh,16.328,73.6208,50.38,True,
BEN000132,HH000132,Rajesh Gupta,69,M,AAD00000132,APL,SC,10,Kolkata,West Bengal,18.0499,93.7339,63.29,True,
BEN000133,HH000133,Deepa Reddy,65,F,AAD00000133,EWS,SC,6,Surat,Gujarat,27.1818,72.3815,62.05,True,2025-07-19 19:11:19.302059
BEN000134,HH000134,Deepa Singh,40,F,AAD00000134,EWS,OBC,4,Mumbai,Maharashtra,23.3614,68.3371,75.39,True,2025-08-30 19:11:19.302059
BEN000135,HH000135,Priya Reddy,51,M,AAD00000135,APL,General,8,Surat,Gujarat,17.6466,79.0761,29.11,True,
BEN000136,HH000136,Vikram Patel,62,F,AAD00000136,APL,ST,2,Kolkata,West Bengal,18.2347,95.4451,2.34,True,2026-02-27 19:11:19.302059
BEN000137,HH000137,Vikram Reddy,38,F,AAD00000137,BPL,General,8,Bhopal,Madhya Pradesh,24.8782,86.5859,57.91,True,
BEN000138,HH000138,Deepa Khan,24,F,AAD00000138,APL,ST,2,Chennai,Tamil Nadu,27.5991,92.1167,36.31,True,
BEN000139,HH000139,Anita Sharma,70,F,AAD00000139,APL,ST,4,Jaipur,Rajasthan,23.3425,76.2394,42.36,False,2025-12-29 19:11:19.302059
BEN000140,HH000140,Anil Sharma,68,M,AAD00000140,EWS,General,2,Surat,Gujarat,13.8347,87.7014,67.66,True,
BEN000141,HH000141,Rajesh Singh,50,M,AAD00000141,EWS,SC,10,Jaipur,Rajasthan,16.3642,73.4997,39.41,True,
BEN000142,HH000142,Rajesh Gupta,61,F,AAD00000142,BPL,OBC,3,Chandigarh,Chandigarh,17.6324,93.6547,30.23,True,
BEN000143,HH000143,Priya Reddy,72,F,AAD00000143,EWS,SC,2,Mumbai,Maharashtra,15.1622,74.7258,13.51,True,2026-05-28 19:11:19.302059
BEN000144,HH000144,Rajesh Khan,70,M,AAD00000144,APL,ST,4,Lucknow,Uttar Pradesh,30.6365,85.315,6.67,True,2026-05-24 19:11:19.302059
BEN000145,HH000145,Anil Khan,70,M,AAD00000145,EWS,ST,9,Bhopal,Madhya Pradesh,30.1298,86.514,62.28,True,2026-01-14 19:11:19.302059
BEN000146,HH000146,Sunita Reddy,63,M,AAD00000146,APL,General,6,Chennai,Tamil Nadu,14.1527,80.0965,93.6,True,2026-05-18 19:11:19.302059
BEN000147,HH000147,Kumar Reddy,26,F,AAD00000147,APL,General,10,Kolkata,West Bengal,31.1703,75.7369,99.14,True,2026-03-25 19:11:19.302059
BEN000148,HH000148,Rajesh Reddy,41,M,AAD00000148,APL,General,10,Pune,Maharashtra,20.5344,77.4104,54.58,False,2025-10-08 19:11:19.302059
BEN000149,HH000149,Vikram Gupta,61,F,AAD00000149,EWS,General,9,Indore,Madhya Pradesh,15.6777,80.5667,45.1,True,
BEN000150,HH000150,Anil Verma,30,F,AAD00000150,BPL,OBC,2,Bhopal,Madhya Pradesh,28.6826,87.8187,22.22,True,2026-06-11 19:11:19.302059
BEN000151,HH000151,Sunita Sharma,64,M,AAD00000151,BPL,ST,10,Chennai,Tamil Nadu,31.3809,84.0831,43.23,True,2026-01-22 19:11:19.302059
BEN000152,HH000152,Anita Patel,54,M,AAD00000152,BPL,OBC,8,Bengaluru,Karnataka,12.7092,87.1939,59.02,True,2025-10-20 19:11:19.302059
BEN000153,HH000153,Anita Reddy,47,M,AAD00000153,BPL,General,2,Mumbai,Maharashtra,18.1963,81.9269,51.84,True,2026-05-03 19:11:19.302059
BEN000154,HH000154,Vikram Sharma,77,M,AAD00000154,EWS,OBC,6,Bengaluru,Karnataka,18.8187,94.7438,27.17,True,
BEN000155,HH000155,Anil Khan,73,M,AAD00000155,EWS,ST,5,Hyderabad,Telangana,16.8393,69.5387,91.07,True,2025-11-06 19:11:19.302059
BEN000156,HH000156,Anita Singh,21,F,AAD00000156,EWS,General,3,Kolkata,West Bengal,18.6392,82.1346,41.98,False,
BEN000157,HH000157,Sunita Verma,59,F,AAD00000157,APL,OBC,2,Kolkata,West Bengal,26.1112,78.1608,2.62,True,2026-02-14 19:11:19.302059
BEN000158,HH000158,Anil Verma,70,M,AAD00000158,EWS,OBC,3,Jaipur,Rajasthan,29.8076,75.4229,73.23,True,
BEN000159,HH000159,Kumar Khan,65,M,AAD00000159,BPL,OBC,2,Goa,Goa,28.037,90.3411,47.66,True,
BEN000160,HH000160,Rajesh Kumar,34,M,AAD00000160,BPL,SC,9,Delhi,Delhi,30.196,91.2249,39.24,True,2025-08-31 19:11:19.302059
BEN000161,HH000161,Rajesh Patel,60,F,AAD00000161,APL,OBC,5,Lucknow,Uttar Pradesh,18.6188,85.1708,30.61,True,2025-12-18 19:11:19.302059
BEN000162,HH000162,Kumar Khan,69,M,AAD00000162,EWS,OBC,2,Hyderabad,Telangana,32.0975,96.8779,66.49,True,
BEN000163,HH000163,Anil Patel,56,F,AAD00000163,BPL,SC,10,Delhi,Delhi,32.1423,70.0997,11.02,True,2026-07-06 19:11:19.302059
BEN000164,HH000164,Vikram Sharma,77,F,AAD00000164,BPL,ST,4,Chennai,Tamil Nadu,34.2454,86.6453,51.99,True,
BEN000165,HH000165,Vikram Verma,74,M,AAD00000165,EWS,General,5,Bengaluru,Karnataka,24.149,72.6466,93.79,True,
BEN000166,HH000166,Anil Sharma,56,M,AAD00000166,BPL,OBC,8,Bhopal,Madhya Pradesh,25.9349,80.9461,49.82,True,
BEN000167,HH000167,Deepa Verma,34,M,AAD00000167,EWS,General,9,Lucknow,Uttar Pradesh,22.0645,81.3214,80.91,True,
BEN000168,HH000168,Kumar Verma,70,M,AAD00000168,BPL,SC,7,Chennai,Tamil Nadu,22.2388,78.7199,99.64,True,2025-10-09 19:11:19.302059
BEN000169,HH000169,Rajesh Sharma,60,F,AAD00000169,APL,General,5,Hyderabad,Telangana,15.398,69.262,16.31,True,
BEN000170,HH000170,Priya Gupta,56,M,AAD00000170,BPL,SC,3,Jaipur,Rajasthan,21.1968,94.9874,37.09,True,2025-08-14 19:11:19.302059
BEN000171,HH000171,Sunita Verma,77,F,AAD00000171,EWS,OBC,7,Mumbai,Maharashtra,27.6705,70.8318,19.57,True,2025-12-06 19:11:19.302059
BEN000172,HH000172,Anil Kumar,54,F,AAD00000172,BPL,OBC,9,Ahmedabad,Gujarat,28.4788,95.7058,83.84,False,2025-07-28 19:11:19.302059
BEN000173,HH000173,Kumar Khan,66,F,AAD00000173,APL,OBC,6,Surat,Gujarat,29.1061,83.0277,61.71,True,2026-05-11 19:11:19.302059
BEN000174,HH000174,Vikram Reddy,79,F,AAD00000174,EWS,OBC,7,Bhopal,Madhya Pradesh,21.5494,96.4255,79.83,True,2026-04-05 19:11:19.302059
BEN000175,HH000175,Anita Reddy,18,F,AAD00000175,EWS,OBC,8,Ahmedabad,Gujarat,27.0088,82.7885,69.47,True,2025-08-21 19:11:19.302059
BEN000176,HH000176,Rajesh Khan,42,F,AAD00000176,APL,General,5,Chennai,Tamil Nadu,16.9801,68.0033,34.25,False,2025-09-08 19:11:19.302059
BEN000177,HH000177,Vikram Khan,71,M,AAD00000177,APL,ST,5,Mumbai,Maharashtra,20.5313,80.847,49.63,True,2025-10-30 19:11:19.302059
BEN000178,HH000178,Anil Singh,42,F,AAD00000178,EWS,SC,10,Mumbai,Maharashtra,29.6683,80.4095,39.54,True,2025-12-23 19:11:19.302059
BEN000179,HH000179,Rajesh Verma,26,M,AAD00000179,APL,ST,10,Indore,Madhya Pradesh,28.6187,68.1227,44.66,True,2026-05-03 19:11:19.303042
