household_id,name,district,status,matched_beneficiary,confidence,action,recommendation,priority_score,eligibility_details,timestamp,priority_rank,global_priority_rank
HH000749,Anil Reddy,Goa,already_enrolled,BEN000749,100.0,none,,,,,,
HH000762,Rajesh Kumar,Goa,already_enrolled,BEN000762,100.0,none,,,,,,
HH000771,Rajesh Singh,Goa,already_enrolled,BEN000771,100.0,none,,,,,,
HH000775,Anil Khan,Goa,already_enrolled,BEN000775,100.0,none,,,,,,
HH000779,Rajesh Singh,Goa,already_enrolled,BEN000771,100.0,none,,,,,,
HH000785,Anil Singh,Goa,already_enrolled,BEN000785,100.0,none,,,,,,
HH000804,Deepa Patel,Goa,already_enrolled,BEN000804,100.0,none,,,,,,
HH000812,Vikram Patel,Goa,already_enrolled,BEN000812,100.0,none,,,,,,
HH000820,Deepa Kumar,Goa,already_enrolled,BEN000820,100.0,none,,,,,,
HH000837,Anil Khan,Goa,already_enrolled,BEN000837,100.0,none,,,,,,
HH000844,Sunita Gupta,Goa,already_enrolled,BEN000844,100.0,none,,,,,,
HH000901,Priya Patel,Goa,already_enrolled,BEN000901,100.0,none,,,,,,
HH000924,Vikram Singh,Goa,already_enrolled,BEN000924,100.0,none,,,,,,
HH000929,Rajesh Patel,Goa,already_enrolled,BEN000929,100.0,none,,,,,,
HH000941,Deepa Singh,Goa,already_enrolled,BEN000941,100.0,none,,,,,,
HH000959,Anita Verma,Goa,already_enrolled,BEN000959,100.0,none,,,,,,
HH000966,Priya Singh,Goa,already_enrolled,BEN000966,100.0,none,,,,,,
HH001010,Anil Kumar,Goa,already_enrolled,BEN001010,100.0,none,,,,,,
HH001039,Priya Singh,Goa,already_enrolled,BEN001039,100.0,none,,,,,,
HH001063,Deepa Kumar,Goa,already_enrolled,BEN001063,100.0,none,,,,,,
HH001104,Priya Khan,Goa,already_enrolled,BEN001104,100.0,none,,,,,,
HH001116,Sunita Gupta,Goa,already_enrolled,BEN001116,100.0,none,,,,,,
HH001118,Anil Singh,Goa,already_enrolled,BEN001118,100.0,none,,,,,,
HH001149,Kumar Patel,Goa,already_enrolled,BEN001149,100.0,none,,,,,,
HH001170,Anita Gupta,Goa,already_enrolled,BEN001170,100.0,none,,,,,,
HH001171,Kumar Gupta,Goa,already_enrolled,BEN001171,100.0,none,,,,,,
HH001195,Vikram Patel,Goa,already_enrolled,BEN001195,100.0,none,,,,,,
HH001230,Anil Reddy,Goa,already_enrolled,BEN001230,100.0,none,,,,,,
HH001273,Kumar Verma,Goa,already_enrolled,BEN001273,100.0,none,,,,,,
HH001282,Rajesh Khan,Goa,already_enrolled,BEN004253,93.0909090909091,none,,,,,,
HH001293,Kumar Kumar,Goa,already_enrolled,BEN001293,100.0,none,,,,,,
HH001334,Rajesh Reddy,Goa,already_enrolled,BEN001334,100.0,none,,,,,,
HH001346,Kumar Reddy,Goa,already_enrolled,BEN001346,100.0,none,,,,,,
HH001362,Anil Reddy,Goa,already_enrolled,BEN001362,100.0,none,,,,,,
HH001411,Kumar Verma,Goa,already_enrolled,BEN001411,100.0,none,,,,,,
HH001446,Rajesh Kumar,Goa,already_enrolled,BEN001446,100.0,none,,,,,,
HH001461,Deepa Patel,Goa,already_enrolled,BEN001461,100.0,none,,,,,,
HH001475,Sunita Gupta,Goa,already_enrolled,BEN001475,100.0,none,,,,,,
HH001476,Rajesh Sharma,Goa,already_enrolled,BEN001476,100.0,none,,,,,,
HH001487,Priya Patel,Goa,already_enrolled,BEN001867,96.72727272727273,none,,,,,,
HH001491,Priya Kumar,Goa,already_enrolled,BEN001491,100.0,none,,,,,,
HH001501,Anita Reddy,Goa,already_enrolled,BEN001501,100.0,none,,,,,,
HH001527,Anil Sharma,Goa,already_enrolled,BEN002380,89.45454545454545,none,,,,,,
HH001529,Sunita Singh,Goa,already_enrolled,BEN001529,100.0,none,,,,,,
HH001546,Deepa Khan,Goa,already_enrolled,BEN001546,100.0,none,,,,,,
HH001552,Rajesh Singh,Goa,already_enrolled,BEN001552,100.0,none,,,,,,
HH001555,Rajesh Gupta,Goa,already_enrolled,BEN001555,100.0,none,,,,,,
HH001576,Priya Gupta,Goa,already_enrolled,BEN001576,100.0,none,,,,,,
HH001589,Vikram Khan,Goa,already_enrolled,BEN002361,89.45454545454545,none,,,,,,
HH001619,Anil Khan,Goa,already_enrolled,BEN001619,100.0,none,,,,,,
HH001625,Vikram Verma,Goa,already_enrolled,BEN001625,100.0,none,,,,,,
HH001639,Rajesh Singh,Goa,already_enrolled,BEN001639,100.0,none,,,,,,
HH001643,Deepa Reddy,Goa,already_enrolled,BEN001643,100.0,none,,,,,,
HH001664,Vikram Kumar,Goa,already_enrolled,BEN001664,100.0,none,,,,,,
HH001693,Sunita Khan,Goa,already_enrolled,BEN001693,100.0,none,,,,,,
HH001699,Anil Reddy,Goa,already_enrolled,BEN001699,100.0,none,,,,,,
HH001702,Deepa Kumar,Goa,already_enrolled,BEN001702,100.0,none,,,,,,
HH001711,Kumar Singh,Goa,already_enrolled,BEN001711,100.0,none,,,,,,
HH001716,Anita Gupta,Goa,already_enrolled,BEN001716,100.0,none,,,,,,
HH001753,Kumar Singh,Goa,already_enrolled,BEN001753,100.0,none,,,,,,
HH001767,Anil Khan,Goa,already_enrolled,BEN001767,100.0,none,,,,,,
HH001785,Vikram Kumar,Goa,already_enrolled,BEN001785,100.0,none,,,,,,
HH001786,Rajesh Verma,Goa,already_enrolled,BEN001786,100.0,none,,,,,,
HH001792,Rajesh Verma,Goa,already_enrolled,BEN001792,100.0,none,,,,,,
HH001802,Rajesh Gupta,Goa,already_enrolled,BEN001802,100.0,none,,,,,,
HH001813,Priya Khan,Goa,already_enrolled,BEN001104,93.0909090909091,none,,,,,,
HH001814,Anil Verma,Goa,already_enrolled,BEN001814,100.0,none,,,,,,
HH001822,Anita Kumar,Goa,already_enrolled,BEN002160,89.45454545454545,none,,,,,,
HH001823,Rajesh Sharma,Goa,already_enrolled,BEN001823,100.0,none,,,,,,
HH001867,Priya Patel,Goa,already_enrolled,BEN001867,100.0,none,,,,,,
HH001925,Anita Singh,Goa,already_enrolled,BEN001925,100.0,none,,,,,,
HH001940,Anita Reddy,Goa,already_enrolled,BEN001940,100.0,none,,,,,,
HH001946,Sunita Khan,Goa,already_enrolled,BEN001946,100.0,none,,,,,,
HH002001,Rajesh Reddy,Goa,already_enrolled,BEN002001,100.0,none,,,,,,
HH002003,Anita Gupta,Goa,already_enrolled,BEN002003,100.0,none,,,,,,
HH002012,Anil Patel,Goa,already_enrolled,BEN002012,100.0,none,,,,,,
HH002028,Priya Gupta,Goa,already_enrolled,BEN002028,100.0,none,,,,,,
HH002040,Deepa Reddy,Goa,already_enrolled,BEN002040,100.0,none,,,,,,
HH002041,Anil Khan,Goa,already_enrolled,BEN002041,100.0,none,,,,,,
HH002074,Anil Verma,Goa,already_enrolled,BEN002074,100.0,none,,,,,,
HH002105,Anita Khan,Goa,already_enrolled,BEN002105,100.0,none,,,,,,
HH002139,Rajesh Khan,Goa,already_enrolled,BEN002139,100.0,none,,,,,,
HH002151,Deepa Kumar,Goa,already_enrolled,BEN002151,100.0,none,,,,,,
HH002160,Anita Kumar,Goa,already_enrolled,BEN002160,100.0,none,,,,,,
HH002170,Anita Patel,Goa,already_enrolled,BEN002170,100.0,none,,,,,,
HH002174,Kumar Gupta,Goa,already_enrolled,BEN002174,100.0,none,,,,,,
HH002188,Anil Singh,Goa,already_enrolled,BEN002188,100.0,none,,,,,,
HH002195,Vikram Verma,Goa,already_enrolled,BEN002195,100.0,none,,,,,,
HH002211,Sunita Reddy,Goa,already_enrolled,BEN002211,100.0,none,,,,,,
HH002212,Deepa Sharma,Goa,already_enrolled,BEN002212,100.0,none,,,,,,
HH002219,Deepa Kumar,Goa,already_enrolled,BEN002219,100.0,none,,,,,,
HH002225,Deepa Patel,Goa,already_enrolled,BEN002225,100.0,none,,,,,,
HH002228,Rajesh Singh,Goa,already_enrolled,BEN002228,100.0,none,,,,,,
HH002247,Rajesh Gupta,Goa,already_enrolled,BEN002247,100.0,none,,,,,,
HH002248,Priya Gupta,Goa,already_enrolled,BEN002248,100.0,none,,,,,,
HH002253,Sunita Reddy,Goa,already_enrolled,BEN002253,100.0,none,,,,,,
HH002276,Anita Verma,Goa,already_enrolled,BEN002276,100.0,none,,,,,,
HH002289,Priya Patel,Goa,already_enrolled,BEN002289,100.0,none,,,,,,
HH002290,Vikram Verma,Goa,already_enrolled,BEN002195,96.72727272727273,none,,,,,,
HH002293,Priya Sharma,Goa,already_enrolled,BEN002293,100.0,none,,,,,,
HH002305,Anita Gupta,Goa,already_enrolled,BEN002305,100.0,none,,,,,,
HH002317,Priya Kumar,Goa,already_enrolled,BEN003187,93.0909090909091,none,,,,,,
HH002322,Rajesh Sharma,Goa,already_enrolled,BEN002322,100.0,none,,,,,,
HH002325,Sunita Gupta,Goa,already_enrolled,BEN000725,96.72727272727273,none,,,,,,
HH002332,Anita Khan,Goa,already_enrolled,BEN002332,100.0,none,,,,,,
HH002361,Vikram Khan,Goa,already_enrolled,BEN002361,100.0,none,,,,,,
HH002380,Anil Sharma,Goa,already_enrolled,BEN002380,100.0,none,,,,,,
HH002396,Priya Reddy,Goa,already_enrolled,BEN002396,100.0,none,,,,,,
HH002454,Anil Verma,Goa,already_enrolled,BEN002454,100.0,none,,,,,,
HH002526,Deepa Gupta,Goa,already_enrolled,BEN002526,100.0,none,,,,,,
HH002536,Rajesh Khan,Goa,already_enrolled,BEN002536,100.0,none,,,,,,
HH002541,Deepa Singh,Goa,already_enrolled,BEN002541,100.0,none,,,,,,
HH002544,Rajesh Sharma,Goa,already_enrolled,BEN002544,100.0,none,,,,,,
HH002547,Anita Khan,Goa,already_enrolled,BEN002547,100.0,none,,,,,,
HH002555,Deepa Verma,Goa,already_enrolled,BEN002555,100.0,none,,,,,,
HH002560,Rajesh Sharma,Goa,already_enrolled,BEN002560,100.0,none,,,,,,
HH002601,Rajesh Singh,Goa,already_enrolled,BEN002601,100.0,none,,,,,,
HH002604,Vikram Patel,Goa,already_enrolled,BEN002604,100.0,none,,,,,,
HH002611,Priya Gupta,Goa,already_enrolled,BEN002611,100.0,none,,,,,,
HH002622,Rajesh Sharma,Goa,already_enrolled,BEN002322,100.0,none,,,,,,
HH002626,Anil Patel,Goa,already_enrolled,BEN002626,100.0,none,,,,,,
HH002628,Anita Verma,Goa,already_enrolled,BEN002628,100.0,none,,,,,,
HH002633,Deepa Verma,Goa,already_enrolled,BEN002633,100.0,none,,,,,,
HH002642,Priya Khan,Goa,already_enrolled,BEN002642,100.0,none,,,,,,
HH002653,Anil Verma,Goa,already_enrolled,BEN002653,100.0,none,,,,,,
HH002660,Rajesh Gupta,Goa,already_enrolled,BEN002660,100.0,none,,,,,,
HH002691,Anil Verma,Goa,already_enrolled,BEN002691,100.0,none,,,,,,
HH002693,Anil Kumar,Goa,already_enrolled,BEN002693,100.0,none,,,,,,
HH002698,Anita Sharma,Goa,already_enrolled,BEN002723,93.0909090909091,none,,,,,,
HH002722,Anil Kumar,Goa,already_enrolled,BEN002722,100.0,none,,,,,,
HH002723,Anita Sharma,Goa,already_enrolled,BEN002723,100.0,none,,,,,,
HH002744,Sunita Verma,Goa,already_enrolled,BEN002744,100.0,none,,,,,,
HH002747,Deepa Khan,Goa,already_enrolled,BEN002747,100.0,none,,,,,,
HH002755,Vikram Gupta,Goa,already_enrolled,BEN002755,100.0,none,,,,,,
HH002780,Anita Singh,Goa,already_enrolled,BEN002780,100.0,none,,,,,,
HH002830,Vikram Sharma,Goa,already_enrolled,BEN002830,100.0,none,,,,,,
HH002837,Vikram Sharma,Goa,already_enrolled,BEN002830,100.0,none,,,,,,
HH002840,Anita Gupta,Goa,already_enrolled,BEN002840,100.0,none,,,,,,
HH002875,Vikram Sharma,Goa,already_enrolled,BEN002875,100.0,none,,,,,,
HH002902,Kumar Gupta,Goa,already_enrolled,BEN002902,100.0,none,,,,,,
HH002904,Vikram Gupta,Goa,already_enrolled,BEN002904,100.0,none,,,,,,
HH002913,Rajesh Sharma,Goa,already_enrolled,BEN002913,100.0,none,,,,,,
HH002928,Rajesh Singh,Goa,already_enrolled,BEN002228,100.0,none,,,,,,
HH002941,Anil Singh,Goa,already_enrolled,BEN004241,96.72727272727273,none,,,,,,
HH002957,Priya Singh,Goa,already_enrolled,BEN002957,100.0,none,,,,,,
HH002966,Anita Patel,Goa,already_enrolled,BEN002966,100.0,none,,,,,,
HH002969,Anil Khan,Goa,already_enrolled,BEN002969,100.0,none,,,,,,
HH003009,Deepa Khan,Goa,already_enrolled,BEN003009,100.0,none,,,,,,
HH003026,Anil Gupta,Goa,already_enrolled,BEN003026,100.0,none,,,,,,
HH003031,Anita Patel,Goa,already_enrolled,BEN003031,100.0,none,,,,,,
HH003063,Priya Sharma,Goa,already_enrolled,BEN003063,100.0,none,,,,,,
HH003076,Deepa Khan,Goa,already_enrolled,BEN003076,100.0,none,,,,,,
HH003101,Rajesh Reddy,Goa,already_enrolled,BEN003101,100.0,none,,,,,,
HH003107,Rajesh Gupta,Goa,already_enrolled,BEN003107,100.0,none,,,,,,
HH003138,Deepa Gupta,Goa,already_enrolled,BEN003138,100.0,none,,,,,,
HH003145,Anil Khan,Goa,already_enrolled,BEN003145,100.0,none,,,,,,
HH003155,Deepa Kumar,Goa,already_enrolled,BEN003155,100.0,none,,,,,,
HH003173,Anita Singh,Goa,already_enrolled,BEN003173,100.0,none,,,,,,
HH003186,Rajesh Patel,Goa,already_enrolled,BEN000490,89.45454545454545,none,,,,,,
HH003187,Priya Kumar,Goa,already_enrolled,BEN003187,100.0,none,,,,,,
HH003192,Priya Reddy,Goa,already_enrolled,BEN003192,100.0,none,,,,,,
HH003285,Anil Gupta,Goa,already_enrolled,BEN003285,100.0,none,,,,,,
HH003329,Sunita Kumar,Goa,already_enrolled,BEN003329,100.0,none,,,,,,
HH003362,Anita Patel,Goa,already_enrolled,BEN003362,100.0,none,,,,,,
HH003377,Deepa Reddy,Goa,already_enrolled,BEN001643,89.45454545454545,none,,,,,,
HH003378,Anil Sharma,Goa,already_enrolled,BEN003378,100.0,none,,,,,,
HH003385,Rajesh Sharma,Goa,already_enrolled,BEN003385,100.0,none,,,,,,
HH003388,Rajesh Gupta,Goa,already_enrolled,BEN003107,93.0909090909091,none,,,,,,
HH003389,Sunita Sharma,Goa,already_enrolled,BEN003389,100.0,none,,,,,,
HH003390,Sunita Singh,Goa,already_enrolled,BEN003390,100.0,none,,,,,,
HH003416,Priya Sharma,Goa,already_enrolled,BEN003416,100.0,none,,,,,,
HH003419,Rajesh Sharma,Goa,already_enrolled,BEN003419,100.0,none,,,,,,
HH003471,Anita Gupta,Goa,already_enrolled,BEN003471,100.0,none,,,,,,
HH003493,Rajesh Khan,Goa,already_enrolled,BEN003493,100.0,none,,,,,,
HH003530,Deepa Verma,Goa,already_enrolled,BEN003530,100.0,none,,,,,,
HH003537,Anil Verma,Goa,already_enrolled,BEN003537,100.0,none,,,,,,
HH003550,Deepa Gupta,Goa,already_enrolled,BEN003550,100.0,none,,,,,,
HH003567,Anita Singh,Goa,already_enrolled,BEN003173,93.0909090909091,none,,,,,,
HH003570,Vikram Patel,Goa,already_enrolled,BEN003570,100.0,none,,,,,,
HH003627,Kumar Kumar,Goa,already_enrolled,BEN003627,100.0,none,,,,,,
HH003646,Priya Reddy,Goa,already_enrolled,BEN003646,100.0,none,,,,,,
HH003669,Anita Kumar,Goa,already_enrolled,BEN003669,100.0,none,,,,,,
HH003680,Anita Kumar,Goa,already_enrolled,BEN003669,96.72727272727273,none,,,,,,
HH003693,Anil Kumar,Goa,already_enrolled,BEN002693,100.0,none,,,,,,
HH003721,Vikram Kumar,Goa,already_enrolled,BEN003721,100.0,none,,,,,,
HH003735,Vikram Khan,Goa,already_enrolled,BEN003735,100.0,none,,,,,,
HH003739,Rajesh Sharma,Goa,already_enrolled,BEN003739,100.0,none,,,,,,
HH003747,Kumar Kumar,Goa,already_enrolled,BEN003747,100.0,none,,,,,,
HH003748,Anita Kumar,Goa,already_enrolled,BEN003748,100.0,none,,,,,,
HH003764,Deepa Singh,Goa,already_enrolled,BEN003764,100.0,none,,,,,,
HH003800,Kumar Verma,Goa,already_enrolled,BEN003800,100.0,none,,,,,,
HH003806,Deepa Gupta,Goa,already_enrolled,BEN003806,100.0,none,,,,,,
HH003841,Deepa Singh,Goa,already_enrolled,BEN003841,100.0,none,,,,,,
HH003859,Anita Patel,Goa,already_enrolled,BEN003031,93.0909090909091,none,,,,,,
HH003868,Kumar Khan,Goa,already_enrolled,BEN003868,100.0,none,,,,,,
HH003874,Rajesh Sharma,Goa,already_enrolled,BEN003874,100.0,none,,,,,,
HH003891,Deepa Verma,Goa,already_enrolled,BEN003530,93.0909090909091,none,,,,,,
HH003900,Anil Reddy,Goa,already_enrolled,BEN003900,100.0,none,,,,,,
HH003948,Anita Khan,Goa,already_enrolled,BEN003948,100.0,none,,,,,,
HH003963,Vikram Singh,Goa,already_enrolled,BEN003963,100.0,none,,,,,,
HH003979,Priya Gupta,Goa,already_enrolled,BEN003979,100.0,none,,,,,,
HH004005,Anita Verma,Goa,already_enrolled,BEN004135,96.72727272727273,none,,,,,,
HH004024,Vikram Gupta,Goa,already_enrolled,BEN004024,100.0,none,,,,,,
HH004064,Priya Reddy,Goa,already_enrolled,BEN004064,100.0,none,,,,,,
HH004124,Sunita Sharma,Goa,already_enrolled,BEN004124,100.0,none,,,,,,
HH004125,Deepa Gupta,Goa,already_enrolled,BEN004125,100.0,none,,,,,,
HH004135,Anita Verma,Goa,already_enrolled,BEN004135,100.0,none,,,,,,
HH004137,Anil Khan,Goa,already_enrolled,BEN004137,100.0,none,,,,,,
HH004195,Deepa Gupta,Goa,already_enrolled,BEN004125,100.0,none,,,,,,
HH004235,Rajesh Verma,Goa,already_enrolled,BEN000436,93.0909090909091,none,,,,,,
HH004241,Anil Singh,Goa,already_enrolled,BEN004241,100.0,none,,,,,,
HH004244,Anil Verma,Goa,already_enrolled,BEN004244,100.0,none,,,,,,
HH004253,Rajesh Khan,Goa,already_enrolled,BEN004253,100.0,none,,,,,,
HH004276,Rajesh Sharma,Goa,already_enrolled,BEN004276,100.0,none,,,,,,
HH004304,Vikram Singh,Goa,already_enrolled,BEN004304,100.0,none,,,,,,
HH004308,Anil Verma,Goa,already_enrolled,BEN004308,100.0,none,,,,,,
HH004318,Kumar Gupta,Goa,already_enrolled,BEN004318,100.0,none,,,,,,
HH004322,Vikram Verma,Goa,already_enrolled,BEN004322,100.0,none,,,,,,
HH004387,Anil Verma,Goa,already_enrolled,BEN004387,100.0,none,,,,,,
HH004392,Sunita Reddy,Goa,already_enrolled,BEN004392,100.0,none,,,,,,
HH004396,Vikram Gupta,Goa,already_enrolled,BEN004396,100.0,none,,,,,,
HH004402,Rajesh Reddy,Goa,already_enrolled,BEN004402,100.0,none,,,,,,
HH004406,Kumar Sharma,Goa,already_enrolled,BEN004406,100.0,none,,,,,,
HH004409,Anita Reddy,Goa,already_enrolled,BEN004409,100.0,none,,,,,,
HH004415,Anita Singh,Goa,already_enrolled,BEN004415,100.0,none,,,,,,
HH004419,Anita Patel,Goa,already_enrolled,BEN004419,100.0,none,,,,,,
HH004437,Kumar Reddy,Goa,already_enrolled,BEN004437,100.0,none,,,,,,
HH004441,Deepa Reddy,Goa,already_enrolled,BEN004441,100.0,none,,,,,,
HH004452,Deepa Khan,Goa,already_enrolled,BEN004452,100.0,none,,,,,,
HH004465,Rajesh Sharma,Goa,already_enrolled,BEN000245,93.0909090909091,none,,,,,,
HH004503,Sunita Reddy,Goa,already_enrolled,BEN002253,93.0909090909091,none,,,,,,
HH004522,Rajesh Gupta,Goa,already_enrolled,BEN001555,93.0909090909091,none,,,,,,
HH004542,Kumar Singh,Goa,already_enrolled,BEN004542,100.0,none,,,,,,
HH004552,Anil Verma,Goa,already_enrolled,BEN004552,100.0,none,,,,,,
HH004561,Priya Khan,Goa,already_enrolled,BEN004561,100.0,none,,,,,,
HH004562,Vikram Sharma,Goa,already_enrolled,BEN002830,89.45454545454545,none,,,,,,
HH004578,Anita Gupta,Goa,already_enrolled,BEN004578,100.0,none,,,,,,
HH004601,Rajesh Reddy,Goa,already_enrolled,BEN004601,100.0,none,,,,,,
HH004612,Sunita Reddy,Goa,already_enrolled,BEN004612,100.0,none,,,,,,
HH004622,Kumar Patel,Goa,already_enrolled,BEN004622,100.0,none,,,,,,
HH004661,Vikram Singh,Goa,already_enrolled,BEN004661,100.0,none,,,,,,
HH004689,Sunita Khan,Goa,already_enrolled,BEN004689,100.0,none,,,,,,
HH004735,Kumar Singh,Goa,already_enrolled,BEN004735,100.0,none,,,,,,
HH004772,Kumar Kumar,Goa,already_enrolled,BEN004772,100.0,none,,,,,,
HH004778,Vikram Singh,Goa,already_enrolled,BEN004304,93.0909090909091,none,,,,,,
HH004783,Kumar Kumar,Goa,already_enrolled,BEN004783,100.0,none,,,,,,
HH004786,Vikram Gupta,Goa,already_enrolled,BEN004396,96.72727272727273,none,,,,,,
HH004838,Rajesh Sharma,Goa,already_enrolled,BEN004838,100.0,none,,,,,,
HH004856,Kumar Patel,Goa,already_enrolled,BEN004856,100.0,none,,,,,,
HH004858,Sunita Khan,Goa,already_enrolled,BEN004858,100.0,none,,,,,,
HH004866,Anita Patel,Goa,already_enrolled,BEN004866,100.0,none,,,,,,
HH004885,Rajesh Singh,Goa,already_enrolled,BEN004885,100.0,none,,,,,,
HH004899,Vikram Patel,Goa,already_enrolled,BEN004899,100.0,none,,,,,,
HH004909,Sunita Patel,Goa,already_enrolled,BEN004909,100.0,none,,,,,,
HH004935,Kumar Singh,Goa,already_enrolled,BEN004735,100.0,none,,,,,,
HH004942,Sunita Sharma,Goa,already_enrolled,BEN004942,100.0,none,,,,,,
HH004985,Anita Sharma,Goa,already_enrolled,BEN004985,100.0,none,,,,,,
HH004994,Vikram Khan,Goa,already_enrolled,BEN004994,100.0,none,,,,,,
HH000002,Priya Kumar,Surat,already_enrolled,BEN000002,100.0,none,,,,,,
HH000041,Anil Patel,Surat,already_enrolled,BEN003068,93.0909090909091,none,,,,,,
HH000078,Anil Khan,Surat,already_enrolled,BEN000078,100.0,none,,,,,,
HH000082,Sunita Khan,Surat,already_enrolled,BEN000082,100.0,none,,,,,,
HH000086,Sunita Kumar,Surat,already_enrolled,BEN000086,100.0,none,,,,,,
HH000106,Rajesh Patel,Surat,already_enrolled,BEN000106,100.0,none,,,,,,
HH000129,Anil Gupta,Surat,already_enrolled,BEN000129,100.0,none,,,,,,
HH000133,Deepa Reddy,Surat,already_enrolled,BEN000133,100.0,none,,,,,,
HH000135,Priya Reddy,Surat,already_enrolled,BEN000135,100.0,none,,,,,,
HH000140,Anil Sharma,Surat,already_enrolled,BEN000140,100.0,none,,,,,,
HH000173,Kumar Khan,Surat,already_enrolled,BEN000173,100.0,none,,,,,,
HH000193,Anita Patel,Surat,already_enrolled,BEN000193,100.0,none,,,,,,
HH000210,Anil Reddy,Surat,already_enrolled,BEN000210,100.0,none,,,,,,
HH000255,Anil Reddy,Surat,already_enrolled,BEN000210,96.72727272727273,none,,,,,,
HH000256,Sunita Kumar,Surat,already_enrolled,BEN000086,96.72727272727273,none,,,,,,
HH000273,Rajesh Patel,Surat,already_enrolled,BEN000273,100.0,none,,,,,,
HH000293,Rajesh Singh,Surat,already_enrolled,BEN000293,100.0,none,,,,,,
